order_id,date,product,category,brand,region,city,channel,quantity,unit_price,discount_pct,revenue
NYK100001,2024-01-01,Niacinamide Toner,Skincare,Lumière,South,Hyderabad,Web,1,790,10,711.0
NYK100002,2024-01-01,Eau de Parfum Rose,Fragrance,Maison Lux,Central,Bhopal,Marketplace,1,2032,0,2032.0
NYK100003,2024-01-01,Mascara Volume,Makeup,Glow Co,West,Ahmedabad,Marketplace,2,465,5,883.5
NYK100004,2024-01-01,Niacinamide Toner,Skincare,Lumière,South,Hyderabad,Web,1,790,0,790.0
NYK100005,2024-01-01,Sunscreen SPF 50,Skincare,Lumière,South,Hyderabad,Mobile App,1,764,0,764.0
NYK100006,2024-01-01,Keratin Conditioner,Haircare,Velvet,South,Bengaluru,Marketplace,1,608,0,608.0
NYK100007,2024-01-01,Kajal Eyeliner,Makeup,Velvet,South,Chennai,Web,1,494,10,444.6
NYK100008,2024-01-01,Kajal Eyeliner,Makeup,Velvet,East,Bhubaneswar,Web,2,494,10,889.2
NYK100009,2024-01-01,HD Foundation,Makeup,Velvet,West,Ahmedabad,Marketplace,3,906,5,2582.1
NYK100010,2024-01-01,Body Mist Citrus,Fragrance,Bloomé,East,Bhubaneswar,Mobile App,1,1979,0,1979.0
NYK100011,2024-01-01,Retinol Cream,Skincare,Glow Co,West,Ahmedabad,Marketplace,1,1027,15,872.95
NYK100012,2024-01-01,Hair Serum Smooth,Haircare,Velvet,Central,Indore,Mobile App,1,363,25,272.25
NYK100013,2024-01-01,Niacinamide Toner,Skincare,Lumière,East,Kolkata,Marketplace,2,790,0,1580.0
NYK100014,2024-01-01,Onion Hair Oil,Haircare,Maison Lux,South,Kochi,Mobile App,2,451,25,676.5
NYK100015,2024-01-01,Shea Body Lotion,Bath & Body,Pureveda,North,Delhi,Mobile App,3,581,25,1307.25
NYK100016,2024-01-01,Biotin Gummies,Wellness,Bloomé,South,Chennai,Web,1,1157,20,925.6
NYK100017,2024-01-01,Compact Powder,Makeup,Glow Co,West,Mumbai,Marketplace,4,666,10,2397.6
NYK100018,2024-01-01,Oud Perfume Luxe,Fragrance,Bloomé,North,Chandigarh,Marketplace,2,1812,25,2718.0
NYK100019,2024-01-01,Vitamin C Serum,Skincare,Glow Co,South,Bengaluru,Mobile App,2,977,10,1758.6
NYK100020,2024-01-01,Kajal Eyeliner,Makeup,Velvet,East,Kolkata,Marketplace,1,494,0,494.0
NYK100021,2024-01-01,Body Mist Citrus,Fragrance,Bloomé,Central,Nagpur,Web,2,1979,0,3958.0
NYK100022,2024-01-01,Collagen Powder,Wellness,Pureveda,West,Ahmedabad,Marketplace,1,974,25,730.5
NYK100023,2024-01-01,Onion Hair Oil,Haircare,Maison Lux,Central,Nagpur,Marketplace,4,451,5,1713.8
NYK100024,2024-01-01,Mascara Volume,Makeup,Glow Co,West,Ahmedabad,Marketplace,1,465,20,372.0
NYK100025,2024-01-01,Eau de Parfum Rose,Fragrance,Maison Lux,South,Hyderabad,Marketplace,1,2032,0,2032.0
NYK100026,2024-01-01,Shea Body Lotion,Bath & Body,Pureveda,South,Bengaluru,Web,1,581,0,581.0
NYK100027,2024-01-01,Niacinamide Toner,Skincare,Lumière,East,Kolkata,Web,3,790,25,1777.5
NYK100028,2024-01-01,Compact Powder,Makeup,Glow Co,North,Chandigarh,Web,2,666,20,1065.6
NYK100029,2024-01-01,Body Mist Citrus,Fragrance,Bloomé,North,Delhi,Mobile App,2,1979,15,3364.3
NYK100030,2024-01-01,Onion Hair Oil,Haircare,Maison Lux,East,Kolkata,Web,1,451,0,451.0
NYK100031,2024-01-01,Hair Serum Smooth,Haircare,Velvet,East,Kolkata,Web,2,363,5,689.7
NYK100032,2024-01-01,HD Foundation,Makeup,Velvet,North,Chandigarh,Mobile App,1,906,10,815.4
NYK100033,2024-01-01,Kajal Eyeliner,Makeup,Velvet,North,Delhi,Marketplace,3,494,0,1482.0
NYK100034,2024-01-01,Shea Body Lotion,Bath & Body,Pureveda,Central,Indore,Mobile App,3,581,0,1743.0
NYK100035,2024-01-01,Body Mist Citrus,Fragrance,Bloomé,East,Kolkata,Mobile App,1,1979,0,1979.0
NYK100036,2024-01-01,Vitamin C Serum,Skincare,Glow Co,South,Kochi,Mobile App,4,977,10,3517.2
